ID,textstr ,label
636,type of movie,movie.genre
637,what is the classification of movie,movie.genre
638,what is the genre for movie,movie.genre
639,what is the movie genre,movie.genre
640,what kind of movie,movie.genre
641,what type of movie is this,movie.genre
642,i would like look up the genre step up is in,movie.genre
643,search for the genre step up in,movie.genre
644,what genre is step up in,movie.genre
645,what genre is calendar girls in,movie.genre
646,what is the genre for the patriot,movie.genre
647,what genre is network in,movie.genre
648,find out the genre for the movie rebel,movie.genre
649,genre for the avengers,movie.genre
650,can you tell me what genre the movie avatar falls in,movie.genre
651,i need to know the genre of the movie avatar,movie.genre
652,show me the genre of the movie avatar,movie.genre
653,what genre is superman,movie.genre
654,pretty girl movie genre,movie.genre
655,pretty girl what is the movie genre,movie.genre
656,what genre is pretty girl,movie.genre
657,what genre is the movie pretty girl,movie.genre
658,find out what kind of movie grease is,movie.genre
659,i d like to know the genre of the film grease,movie.genre
660,i would like to know the genre of grease,movie.genre
661,what kind of movie is grease,movie.genre
662,find out the genre for the movie annamayya,movie.genre
663,what movie category is friday the 13th,movie.genre
664,tell me what genre the tommyknockers is,movie.genre
665,what genre is the hangover,movie.genre
666,what catergory is ted in,movie.genre
667,what genre is ted considered,movie.genre
668,what type of movie is ted considered to be,movie.genre
669,genre for while you were sleeping,movie.genre
670,what genre is finding nemo,movie.genre
671,which language is used in the movie,movie.language
672,language of sound of music,movie.language
673,what language is this film,movie.language
674,what are the different languages this movie come in,movie.language
675,what foreign language is spoken in movie,movie.language
676,what language is movie in,movie.language
677,what language is the movie in,movie.language
678,what language is the movie in,movie.language
679,language of anna karinia,movie.language
680,language of godzilla movie,movie.language
681,language of hamlet,movie.language
682,can you tell me the language of the movie hero,movie.language
683,i need to know what is the language of the movie hero,movie.language
684,tell me what is the language of the movie hero,movie.language
685,language of bullhead,movie.language
686,what language is shindler list in,movie.language
687,what language did the characters speak in black swan,movie.language
688,what language is black swan,movie.language
689,please find what language the chaser is in,movie.language
690,what language is the chaser in,movie.language
691,look up what language the chaser is in,movie.language
692,ondskan language,movie.language
693,what language is la havre in,movie.language
694,what foreign language is the movie belle available to view in,movie.language
695,what language can i watch the movie the professional,movie.language
696,what language is the professional in,movie.language
697,how do they speak in the movie the professional,movie.language
698,what language is spoken in indochine,movie.language
699,language of the film revanche,movie.language
700,what language was aguirre wrath of god in,movie.language
701,what language is passion of the christ in,movie.language
702,i want to know in what language was ju on filmed,movie.language
703,i want to know the original language of ju on,movie.language
704,tell me the language of ju on,movie.language
705,what language is ju on on,movie.language
706,what language is the movie elling in,movie.language
707,language of a separation,movie.language
708,what s the language of moscow does not believe in tears,movie.language
709,what is the language of the movie aankhen,movie.language
710,can you tell me the language of the movie aankhen,movie.language
711,what are the names of films produced by steven spielberg,movie.produced_by
712,can you tell me names of some movies by director martin scorsese,movie.directed_by
713,find movie titles,
714,what are the names of movies made in the united states,movie.country
715,i would like to know the names of all the movies which have been directed by james cameron,movie.directed_by
716,what are the titles of all the movies that george lucas produced,movie.produced_by
717,names of romantic indian films,movie.country movie.language movie.genre
718,can you show me names of some indian romantic movies,movie.country movie.language movie.genre
719,i would like to know names of some indian movies,movie.country movie.language
720,japanese movie titles,movie.country movie.language
721,can you give me names of some movies having pg thirteen rating,movie.rating
722,i would like to get names of some movies with pg thirteen rating,movie.rating
723,show me names of some romantic movies having a pg thirteen rating,movie.rating movie.genre
724,what are the names of movies with zombies in them,movie.subjects
725,i need to know the names of all the movies produced by william packer,movie.produced_by
726,stephen king directed what movie,movie.directed_by
727,what movies did stephen king direct,movie.directed_by
728,watch the last james cameron movie,movie.directed_by movie.initial_release_date
729,find movies by release date,movie.initial_release_date
730,show movie ratings,movie.rating
731,movie ratings,movie.rating
732,richard lester produced what other movies,movie.produced_by
733,show me westerns,movie.genre
734,was kevin bacon in apollo thirteen,movie.starring.actor
735,i need movie information for life is beautiful,none
736,life is beautiful movie page,none
737,i want to know more about the movie life is beautiful,none
738,i would like info on the movie life is beautiful,none
739,please show me info on the movie life is beautiful,none
740,search for the movie life is beautiful,none
741,what are the particulars for the movie life is beautiful,none
742,can i see more info the movie life is beautiful,none
743,can you show me info on the movie life is beautiful please,none
744,display information for the movie life is beautiful,none
745,find movies about dancing,movie.subjects
746,i want to look up movies about dancing,movie.subjects
747,look up movies about dancing,movie.subjects
748,search for movies about dancing,movie.subjects
749,give me a list of will ferrell films,movie.starring.actor
750,i want to see any movies will ferrell has been in,movie.starring.actor
751,i would like to see will ferrell movies,movie.starring.actor
752,list will ferrell films,movie.starring.actor
753,movies will ferrell played in,movie.starring.actor
754,what are some films will ferrell starred in,movie.starring.actor
755,what movies has will ferrell been in,movie.starring.actor
756,what movies is will ferrell in,movie.starring.actor
757,will ferrell films,movie.starring.actor
758,will ferrell movies,movie.starring.actor
759,will ferrell movies,movie.starring.actor
760,will ferell videos,movie.starring.actor
761,i want to see videos of will ferrell,movie.starring.actor
762,all videos of will ferrell,movie.starring.actor
763,can you find me movies in russian,movie.language
764,where can i find movies in russian,movie.language
765,find russian movies,movie.country movie.language
766,find russian movies,movie.country movie.language
767,search for russian movies,movie.country movie.language
768,show me movies from poland,movie.country
769,i would like to see a polish language film,movie.language
770,i am interested in watching a movie in polish,movie.language
771,i want to see a polish movie,movie.country movie.language
772,list some funny russian movies,movie.country movie.language movie.genre
773,i am looking for the information on the movie pretty women,none
774,list of barry sonnenfeld films,movie.directed_by
775,find martin scorsese films,movie.directed_by
776,i want to see a movie which was directed by scorsese,movie.directed_by
777,show all movies directed by martin scorcese,movie.directed_by
778,movies with meg ryan,movie.starring.actor
779,gross earnings for movies,movie.gross_revenue
780,i want to watch movies directed by jackie chan,movie.directed_by
781,star wars,none
782,what are the plots of hotel rwanda,none
783,tim burton movies,movie.directed_by
784,bings movie page finding nemo,none
785,display information for film finding nemo,none
786,finding nemo movie shortcut,none
787,whats some details for the movie finding nemo,none
788,show all details of original finding nemo movie,movie.initial_release_date
789,get details of original finding nemo movie,movie.initial_release_date
790,finding nemo movie page,none
791,find movie finding nemo,none
792,display all details of original finding nemo movie,none
793,find all details of original finding nemo movie,none
794,what has andrew stanton directed,movie.directed_by
795,what movies has andrew stanton directed,movie.directed_by
796,what did lee unkrich direct,movie.directed_by
797,i would like to see a movie with albert brooks in it,movie.starring.actor
798,find me films produced by drew barrymore,movie.produced_by
799,what movies that clint eastwood starred in did he also direct,movie.starring.actor movie.directed_by
800,what movies did clint eastwood direct and star in,movie.starring.actor movie.directed_by
801,i want to watch a movie by sergio leone,movie.directed_by
802,show sergio leone movies,movie.directed_by
803,show me movies directed by sergio leone,movie.directed_by
804,movies that have been directed by tony scott,movie.directed_by
805,show me movies from brazil,movie.country
806,show me horror movie earnings,movie.gross_revenue movie.genre
807,movies with harrison ford,movie.starring.actor
808,show me only movies with harrison ford,movie.starring.actor
809,name the movies clive owen has been in,movie.starring.actor
810,what movies has clive owen been in,movie.starring.actor
811,what movies has clive owen starred in,movie.starring.actor
812,find ms. congeniality,none
813,find spike lee directed movies,movie.directed_by
814,what movies did spike lee direct,movie.directed_by
815,movies cecil b demille,movie.directed_by
816,i want to see a comedy in spanish,movie.language movie.genre
817,find films,none
818,find films,none
819,find movies,none
820,in search for movies,none
821,looking for movies,none
822,find a movie,none
823,are there movies not rated g,movie.rating
824,i don't want any g rated movies,movie.rating
825,can you find some drama movies,movie.genre
826,i'd like to watch something with drama,movie.genre
827,looking for a drama movie,movie.genre
828,show me a list of movies in english,movie.language
829,show me english movies,movie.language
830,find english movies,movie.language
831,can i get a list of movies available in english,movie.language
832,show me movies in english,movie.language
833,i would like to see movies in english,movie.language
834,movies in english,movie.language
835,show me a list of all movies made in the united states,movie.country
836,what are all movies made by united states,movie.country
837,what movies have been made in the united states,movie.country
838,movies from the us,movie.country
839,what are all of the movies made in usa,movie.country
840,i want to see movies made in america,movie.country
841,show me a list of movies made in america,movie.country
842,show me movies made in america,movie.country
843,please tell me if you have any movies from the united states,movie.country
844,movies from the us,movie.country
845,please tell me about movies from the usa,movie.country
846,english movie list,movie.country movie.language
847,show me thrillers,movie.genre
848,show me thrillers,movie.genre
849,show me comedies,movie.genre
850,looking for a comedy movie,movie.genre
851,see comedy,movie.genre
852,show me comedy movies,movie.genre
853,show me funny movies,movie.genre
854,movies that have comedy,movie.genre
855,can you show me a list of scary movies,movie.genre
856,i am in the mood for a horror film,movie.genre
857,looking for a horror movie,movie.genre
858,search for horror movies,movie.genre
859,show me horror movies,movie.genre
860,show only horror movies,movie.genre
861,show me a list of scary movies,movie.genre
862,i want to see a list of scary movies,movie.genre
863,funny scary movies,movie.genre
864,movies by producer,movie.produced_by
865,find movies by producer,movie.produced_by
866,movies with bruce willis,movie.starring.actor
867,clint eastwood movies,movie.starring.actor
868,find movies from canada,movie.country
869,get me canadian movies,movie.country
870,show me movies from canada,movie.country
871,look up information about canadian movies,movie.country
872,get movies from canada,movie.country
873,show me a list of any movies made in canada,movie.country
874,find movies filmed in canada,movie.country
875,get films made in canada,movie.country
876,show me canadian films,movie.country
877,show me canadian movies,movie.country
878,are there any canadian movies,movie.country
879,are there any canadian movies,movie.country
880,find canadian films,movie.country
881,what are some movies made outside the us,movie.country
882,movies from germany,movie.country
883,i want to watch movies from germany,movie.country
884,display movies made in germany,movie.country
885,find movies done in germany,movie.country
886,what movies do you have that were made in italy,movie.country
887,movies from italy,movie.country
888,does italy make any movies,movie.country
889,find italian movies,movie.country movie.language
890,italian films,movie.country movie.language
891,italian movies,movie.country movie.language
892,show me italian movies,movie.country movie.language
893,get all italian language movies,movie.language
894,send me movies that are in italian,movie.language
895,movies with italian language,movie.language
896,show me movies in italian,movie.language
897,what movies are in italian,movie.language
898,search for movies in italian,movie.language
899,find movies in italian,movie.language
900,a list of all italian speaking movies,movie.language
901,give me a list of movies from spain,movie.country
902,see movies from spain,movie.country
903,movies from spain,movie.country
904,movies from spain,movie.country
905,i want to see movies from spain,movie.country
906,movies made in spain,movie.country
907,are there any movies made in spain,movie.country
908,bring up spanish movies,movie.country movie.language
909,can you show me movies spanish,movie.country movie.language
910,can you show me spanish movies,movie.country movie.language
911,find spanish movies,movie.country movie.language
912,find spanish movies,movie.country movie.language
913,get me spanish movies,movie.country movie.language
914,I'd like a list of spanish movies,movie.country movie.language
915,I'd like to know some spanish movies,movie.country movie.language
916,i want only spanish movies,movie.country movie.language
917,i want to look up spanish movies,movie.country movie.language
918,list spanish movies,movie.country movie.language
919,list spanish movies,movie.country movie.language
920,look for spanish movies,movie.country movie.language
921,search for spanish movies,movie.country movie.language
922,search for spanish movies,movie.country movie.language
923,show me spanish movies,movie.country movie.language
924,spanish movie listing,movie.country movie.language
925,spanish movies,movie.country movie.language
926,find romance movies,movie.genre
927,give me a list of romance movies,movie.genre
928,find me romantic movies,movie.genre
929,i want to find romantic movies,movie.genre
930,locate romantic movies for me,movie.genre
931,list some movies that are in french,movie.language
932,find french language movies,movie.language
933,find movies in french,movie.language
934,find movies is french,movie.language
935,list movies in french,movie.language
936,look for movies in french,movie.language
937,search for movies in french,movie.language
938,search for movies in french,movie.language
939,show me movies produced in french,movie.language
940,show movies in french,movie.language
941,show only movies that are in french,movie.language
942,find french language movies,movie.language
943,list of all french speaking films,movie.language
944,list of french language movies,movie.language
945,show me movies in french,movie.language
946,can you list movies in french,movie.language
947,find all films showing in french,movie.language
948,show me a list of all the movies produced by william packer,movie.produced_by
949,information about movie,none
950,show me information about movie,none
951,show me information on movie,none
952,tell me about movie,none
953,please show me all of the films that involve kevin bacon,movie.starring.actor
954,i want movies about 9-11,movie.subjects
955,what other movies has bill paxton starred in,movie.starring.actor
956,find some suspenseful movies,movie.genre
957,a movie based on time travel,movie.subjects
958,find time travel movies,movie.subjects
959,give me a list of time travel movies,movie.subjects
960,movies about time travel,movie.subjects
961,show me movies about time travel,movie.subjects
962,show me movies with time travel themes,movie.subjects
963,show me time travel movies,movie.subjects
964,show videos about time travel,movie.subjects
965,time travel movies,movie.subjects
966,what are movies whose topic involves time travel,movie.subjects
967,movies about time travel,movie.subjects
968,movies about time travel,movie.subjects
969,show me movies about time travel,movie.subjects
970,show me movies about time travel,movie.subjects
971,show me some movies that are related to time travel,movie.subjects
972,what are some movies that involve time travel,movie.subjects
973,what movies discuss time travel,movie.subjects
974,quentin tarrantino movies,movie.directed_by
975,what movies did quentin terrantino direct,movie.directed_by
976,list the movies anna paquin has starred in,movie.starring.actor
977,movies from england,movie.country
978,movies from england,movie.country
979,movies from england please,movie.country
980,show me england movies,movie.country
981,show me movies from england,movie.country
982,show me movies made in england,movie.country
983,find movies directed by chris columbus,movie.directed_by
984,what other movies has richard lester directed,movie.directed_by
985,search for movies by language,movie.language
986,mandarin movie please,movie.language
987,please find a movie in mandarin,movie.language
988,movie made in mandarin,movie.language
989,which movies are originally in a foreign language,movie.language
990,find me tamil movies,movie.language
991,show me the latest movies in tamil,movie.language
992,find hindi movies,movie.language
993,find movies in hindi,movie.language
994,list the hindi movies,movie.language
995,what is hindi,movie.language
996,i would like to get a list of movie names in hindi language,movie.language
997,what films are not spoken in english,movie.language
998,what movies are spoken in another language,movie.language
999,i want to watch a romance made in india,movie.country movie.genre
1000,i need to get a list of some romantic indian movies,movie.country movie.language movie.genre
1001,find movies from india,movie.country
1002,look up movies from india,movie.country
1003,see movies from india,movie.country
1004,find indian movies,movie.country movie.language
1005,give me a list of some indian movies,movie.country movie.language
1006,brian de palma movies,movie.directed_by
1007,complete list of movies made by searchlight films,movie.production_companies
1008,list movies by searchlight films,movie.production_companies
1009,list of movies produced by searchlight films,movie.production_companies
1010,what are some movies made by searchlight films,movie.production_companies
1011,movies about bank robberies,movie.subjects
1012,show me sarah polley movies,movie.starring.actor
1013,show me french r rated dramas,movie.country movie.language movie.genre movie.rating
1014,list french language comedy films,movie.language movie.genre
1015,show french comedy films,movie.language movie.genre
1016,what are some movies that were produced in europe,movie.country
1017,films produced by laurie macdonald,movie.produced_by
1018,find me dreamworks films,movie.production_companies
1019,movie by dreamworks,movie.production_companies
1020,movie made by dreamworks,movie.production_companies
1021,what movies are made by dreamworks,movie.production_companies
1022,i'm looking for the cost of some movies,movie.estimated_budget
1023,what movies did kevin costner direct,movie.directed_by
1024,dirty dancing movie,none
1025,dirty dancing movie short cuts,none
1026,show me the dirty dancing movie,none
1027,will you please show me info on the movie dirty dancing,none
1028,find the movie dirty dancing,none
1029,get me info for the movie dirty dancing,none
1030,i need to get every possible information related with the movie dirty dancing,none
1031,i want to see infomation on the movie dirty dancing,none
1032,i would like to get all the information about the movie dirty dancing,none
1033,please show me info on the movie dirty dancing,none
1034,show me all the information about the movie dirty dancing like story reviews cast etc,none
1035,show me info on the movie dirty dancing please,none
1036,show me information for the movie dirty dancing,none
1037,show me more details for the movie dirty dancing,none
1038,can you please show me info on the movie dirty dancing,none
1039,can you tell me about the movie dirty dancing in detail,none
1040,what films has robert redford directed,movie.directed_by
1041,i want to see a robert redford produced movie,movie.produced_by
1042,i would like to see something produced by robert redford,movie.produced_by
1043,bette midler movies,movie.starring.actor
1044,bette midler movies please,movie.starring.actor
1045,show bette midler movies,movie.starring.actor
1046,show me cameron diaz movies,movie.starring.actor
1047,show me movies with jennifer aniston,movie.starring.actor
1048,russell crowe movies,movie.starring.actor
1049,about life is beautiful,none
1050,details about life is beautiful please,none
1051,find synopsis for life is beautiful,none
1052,i need page on life is beautiful,none
1053,i want information about life is beautiful,none
1054,i want to know about life is beautiful,none
1055,i would like to view info on life is beautiful,none
1056,life is beautiful,none
1057,run a search for life is beautiful,none
1058,show me life is beautiful information,none
1059,what the synopsis of life is beatiful,none
1060,footloose,none
1061,show jason statham movies,movie.starring.actor
1062,list statham movies,movie.starring.actor
1063,find movies from new zealand,movie.country
1064,show me the movies acted by bala krishna,movie.starring.actor
1065,korean language movie,movie.language
1066,show me korean language movie,movie.language
1067,can you find the movies with korean language,movie.language
1068,show me movies that are in korean,movie.language
1069,portugese movies,movie.country movie.language
1070,current movie options for today with patrick swayze,movie.starring.actor movie.initial_release_date
1071,display all results for dirty dancing,none
1072,find information on dirty dancing,none
1073,search for dirty dancing,none
1074,search for dirty dancing,none
1075,how can i view dirty dancing,none
1076,dirty dancing facts,none
1077,did alfred hitchcock direct a comedy,movie.directed_by movie.genre
1078,martin lawrence directed what movie,movie.directed_by
1079,find movies from japan,movie.country
1080,show me movies from japan,movie.country
1081,show me movies from japan,movie.country
1082,what are some movies made in japan,movie.country
1083,what movies came from japan,movie.country
1084,which movies were made in japan,movie.country
1085,i want to find a list of movies made in japan,movie.country
1086,do you have any movies made in japan,movie.country
1087,find japanese movies,movie.country movie.language
1088,find japanese movies,movie.country movie.language
1089,give me some names of japanese movies,movie.country movie.language
1090,i want japanese movies,movie.country movie.language
1091,i want to see japanese movies,movie.country movie.language
1092,i would like to know names of some of the japanese movies,movie.country movie.language
1093,japanese movies,movie.country movie.language
1094,show me a list of some japanese movies,movie.country movie.language
1095,show me japanese movies,movie.country movie.language
1096,sort in all japanese movies,movie.country movie.language
1097,do you have a list of japanese movies,movie.country movie.language
1098,i want to see a film in japanese,movie.language
1099,show me movies in japanese,movie.language
1100,films with japaneese,movie.language
1101,what movies have people speaking japanese in them,movie.language
1102,what are some japanese movies,movie.country movie.language
1103,find movies in british english,movie.language
1104,find movies from miramax,movie.production_companies
1105,see miramax movies,movie.production_companies
1106,watch miramax,movie.production_companies
1107,find movies with sandra bullock,movie.starring.actor
1108,find sandra bullock movies,movie.starring.actor
1109,movies with sandra bullock,movie.starring.actor
1110,movies with vampires,movie.subjects
1111,what movies about vampires are there,movie.subjects
1112,movies will smith stars in,movie.starring.actor
1113,show me will smith movies,movie.starring.actor
1114,what experience does darla anderson have as a producer,movie.produced_by
1115,look for movies directed by tyler perry,movie.directed_by
1116,which movies are directed by tyler perry,movie.directed_by
1117,give me movies directed by tyler perry,movie.directed_by
1118,search for movies directed by tyler perry,movie.directed_by
1119,what films has selena gomez been in,movie.starring.actor
1120,find a movie with mel gibson,movie.starring.actor
1121,only mel gibson movies,movie.starring.actor
1122,find movies produced by paramount pictures,movie.production_companies
1123,i want to see paramount movies,movie.production_companies
1124,i would like a list of paramount movies,movie.production_companies
1125,list some paramount produced films,movie.production_companies
1126,show all movies by paramount,movie.production_companies
1127,show me all the movies made by paramount,movie.production_companies
1128,show only paramount movies,movie.production_companies
1129,is there a list of movies about chess,movie.subjects
1130,movies about chess,movie.subjects
1131,movies regarding the hobby of chess,movie.subjects
1132,list some of the best world war 2 films,movie.subjects
1133,find movies about dogs,movie.subjects
1134,find movies with a nc 17 only,movie.rating
1135,find me nc-17 movies,movie.rating
1136,show me nc seventeen movies,movie.rating
1137,play movies from turkey,movie.country
1138,what movies have come out of turkey,movie.country
1139,can i have a list of bruce lee produced movies,movie.produced_by
1140,can you give me a list of movies produced by bruce lee,movie.produced_by
1141,show me movies produced by bruce lee,movie.produced_by
1142,i want to see movies directed by michael bay,movie.directed_by
1143,what movies did michael bay direct,movie.directed_by
1144,ed harris films,movie.starring.actor
1145,show me all movies that star ed harris,movie.starring.actor
1146,more stuff about the movie go,none
1147,is parenthood a comedy,movie.genre
1148,find movies produced by mel gibson,movie.produced_by
1149,what movies has jerry bruckheimer produced,movie.produced_by
1150,i want to see chinese movies,movie.country movie.language
1151,show me chinese movies,movie.country movie.language
1152,show me dramas from china,movie.country movie.genre
1153,i want to watch a drama made in china,movie.country movie.genre
1154,give me the best baseball movies,movie.subjects
1155,list movies filmed in ireland,movie.country movie.locations
1156,list all the movies john travolta has done,movie.starring.actor
1157,columbia production company movies,movie.production_companies
1158,find me 20 th century fox films,movie.production_companies
1159,list of 20 th century fox films,movie.production_companies
1160,watch century fox movies,movie.production_companies
1161,films produced by twentieth century fox,movie.production_companies
1162,find movies by twentieth century fox,movie.production_companies
1163,find twentieth century fox movies,movie.production_companies
1164,search twentieth century fox,movie.production_companies
1165,show me movies by twentieth century fox,movie.production_companies
1166,show me elvis movies,movie.starring.actor
1167,do you have any pg thirteen rated movies,movie.rating
1168,show me pg thirteen movies,movie.rating
1169,what movies are rated pg thirteen,movie.rating
1170,find pg thirteen movies,movie.rating
1171,show me movies that are rated pg thirteen,movie.rating
1172,list all movies rated pg-13,movie.rating
1173,find movies with pg-13 only,movie.rating
1174,i need to know names of some movies which have a rating of pg-13,movie.rating
1175,i want to find pg-13 rated movies,movie.rating
1176,pg-13 movies,movie.rating
1177,which movies are rated pg-13,movie.rating
1178,find a pg-13 movie,movie.rating
1179,find me pg-13 movies,movie.rating
1180,find movies that are rated pg-13,movie.rating
1181,give me a list of some movies that have pg-13 rating,movie.rating
1182,i want to see a list of g rated movies,movie.rating
1183,list g,movie.rating
1184,what is a list of g movies,movie.rating
1185,are there any g movies out there right now,movie.rating
1186,find me movies rated g,movie.rating
1187,find movies only g,movie.rating
1188,get me only g-rated movies,movie.rating
1189,i want a list of movies rated g,movie.rating
1190,i want to see g -rated films now,movie.rating
1191,i want to take my kids to a g movie,movie.rating
1192,list of g movies,movie.rating
1193,list rating g,movie.rating
1194,listing of g movies,movie.rating
1195,look for movies rated g,movie.rating
1196,look up movies with a g rating,movie.rating
1197,play list g,movie.rating
1198,please select the option to search for g rated movies,movie.rating
1199,rating g,movie.rating
1200,search for movies rated g,movie.rating
1201,show me g rated movies,movie.rating
1202,show only g rated movies,movie.rating
1203,what available movies are rated g,movie.rating
1204,what movies are currently playing that are rated g,movie.rating
1205,find me movies rated g,movie.rating
1206,find movies that are rated g,movie.rating
1207,find movies with g rating,movie.rating
1208,g movies,movie.rating
1209,it is hard to find a movie that is rated g anymore,movie.rating
1210,list movies rated g,movie.rating
1211,only movies rated g,movie.rating
1212,rating g list,movie.rating
1213,show me g movies,movie.rating
1214,there are several g movies,movie.rating
1215,appropriate for kids,movie.rating
1216,what movies can young children watch,movie.rating
1217,watch pg and g movies,movie.rating
1218,did robert wise direct any other musical films,movie.directed_by movie.genre
1219,find love stories,movie.subjects
1220,find love stories,movie.subjects
1221,show me a list of movies produced by mgm,movie.production_companies
1222,movies from the uk,movie.country
1223,show me british films,movie.country
1224,list uk movies,movie.country
1225,get films from the united kingdom,movie.country
1226,i want to watch a comedy made in norway,movie.country movie.genre
1227,get me a list of movies that ron howard produce,movie.produced_by
1228,ron howard movies produce list,movie.produced_by
1229,list movies directed by clint eastwood,movie.directed_by
1230,show director clint eastwood movies,movie.directed_by
1231,what movies did clint eastwood direct,movie.directed_by
1232,movies directed by clint eastwood,movie.directed_by
1233,list movies produced by sean penn,movie.produced_by
1234,find movies about vietnam,movie.subjects
1235,what movies has spielberg been a producer on,movie.produced_by
1236,i would like to select the option to search for movies produced by stephen spielberg,movie.produced_by
1237,please list all movies that stephen spielberg produced,movie.produced_by
1238,select the option to search for movies produced by stephen spielberg,movie.produced_by
1239,which productions are from stephen spilberg,movie.produced_by
1240,find movies produced by steven spielberg,movie.produced_by
1241,list steven spielberg produced movies,movie.produced_by
1242,show me movies produced by stephen spielberg,movie.produced_by
1243,was kevin james in hitch,movie.starring.actor
1244,was will smith in hitch,movie.starring.actor
1245,show me a list of disney movies,movie.production_companies
1246,give me a list of some movies by producer walt disney,movie.production_companies
1247,list all movies that walt disney produced,movie.production_companies
1248,show all movies directed by ron howard,movie.directed_by
1249,what movies has ron howard directed,movie.directed_by
1250,find movies by ron howard,movie.directed_by
1251,show movies directed by ron howard,movie.directed_by
1252,find movies produced by brian glazer,movie.produced_by
1253,list spielberg movies,movie.directed_by
1254,show spielberg movies,movie.directed_by
1255,what did spielberg direct,movie.directed_by
1256,stephen spielberg movies,movie.directed_by
1257,filmography for steven spielberg,movie.directed_by
1258,find movies directed by steven spielberg,movie.directed_by
1259,find steven spielberg movies,movie.directed_by
1260,i want to find movies directed by stephen speilberg,movie.directed_by
1261,list all steven spielberg movies,movie.directed_by
1262,please find the movies by steven spielberg,movie.directed_by
1263,show films by steven spielberg,movie.directed_by
1264,show steven spielberg movies,movie.directed_by
1265,show steven spielberg movies,movie.directed_by
1266,steven spielberg movies,movie.directed_by
1267,steven spielberg pictures,movie.directed_by
1268,what movies has steven spielberg done,movie.directed_by
1269,find movies directed by steven spielberg,movie.directed_by
1270,movie by steven spielberg,movie.directed_by
1271,movie stuff for steven spielberg,movie.directed_by
1272,movies by steven spielberg,movie.directed_by
1273,movies directed by steven spielberg,movie.directed_by
1274,can i see what movies steven spielberg has done,movie.directed_by
1275,can you find movies with steven spielberg,movie.directed_by
1276,spielberg movies,movie.directed_by
1277,videos of steven spielberg,movie.directed_by
1278,find a list of movies directed by spielberg,movie.directed_by
1279,show me the movies that spielberg made,movie.directed_by
1280,can you please search for movies by steven spielberg,movie.directed_by
1281,find movies directed by stephen spielberg,movie.directed_by
1282,find movies directed by stephen spielberg,movie.directed_by
1283,i would like to search for movies directed by stephen spielberg,movie.directed_by
1284,list some movies directed by steven spielberg,movie.directed_by
1285,please find movies directed by stephen spielberg,movie.directed_by
1286,show me movies directed by steven spielberg,movie.directed_by
1287,show me the movies directed by steven spielberg,movie.directed_by
1288,which movies are from stephen spielberg,movie.directed_by
1289,gilda charles vidor,movie.directed_by
1290,show me movie gilda by charles vidor,movie.directed_by
1291,find some musical movies,movie.genre
1292,looking for a musical movie,movie.genre
1293,show me a list of musicals,movie.genre
1294,find the movie hum tum,none
1295,find movies directed by eddie murphy,movie.directed_by
1296,search movies by noah baumbach,movie.directed_by
1297,search chick flicks,movie.genre
1298,can you show me movies about war,movie.subjects
1299,show me some war themed movies,movie.subjects
1300,show movies concerning war,movie.subjects
1301,please list movies about war,movie.subjects
1302,list movies about war,movie.subjects
1303,what movies are made by twentieth century fox television,movie.production_companies
1304,find movies directed by todd solondz,movie.directed_by
1305,find me movies with hugh jackman,movie.starring.actor
1306,what ron howard movies are rated pg-13,movie.rating movie.directed_by
1307,look for dramas made or shot in france,movie.country movie.genre
1308,find movies from france,movie.country
1309,i want to see movies from france,movie.country
1310,movies from france,movie.country
1311,what are all the movies to come out of france,movie.country
1312,give me a list of movies made in france,movie.country
1313,i am looking for movies made in france,movie.country
1314,i want to see a list of movies that were made in france,movie.country
1315,i would like to view any movies made in france,movie.country
1316,please show me movies made in france,movie.country
1317,find movies from france,movie.country
1318,find movies from france,movie.country
1319,what movies were filmed in france,movie.country
1320,find french films,movie.country movie.language
1321,find french movies,movie.country movie.language
1322,find french movies,movie.country movie.language
1323,french movies,movie.country movie.language
1324,i would like to see french movies,movie.country movie.language
1325,list french movies,movie.country movie.language
1326,look for french movies,movie.country movie.language
1327,look up french movies,movie.country movie.language
1328,show me french movies,movie.country movie.language
1329,show me only french foreign films,movie.country movie.language
1330,are there any french films showing,movie.country movie.language
1331,show me mystery movies,movie.genre
1332,find movies produced by disney pixar,movie.production_companies
1333,show me pixar films,movie.production_companies
1334,find movies produced by lucas films,movie.production_companies
1335,i would like to find movies starring the singer mario,movie.starring.actor
1336,look for movies starring the singer mario,movie.starring.actor
1337,search for movies starring the singer mario,movie.starring.actor
1338,bring up all diving movies,movie.subjects
1339,bring up all diving related movies,movie.subjects
1340,show me all movies about diving,movie.subjects
1341,show me diving movies,movie.subjects
1342,sort in all diving movies,movie.subjects
1343,what is the plot of vulgaria,none
1344,find movies by mosfilm,movie.production_companies
1345,search for movies that were produced by mosfilm,movie.production_companies
1346,what films deal with immigrants in america,movie.subjects
1347,look for cher movies,movie.starring.actor
1348,show me cher movies,movie.starring.actor
1349,eva mendes films,movie.starring.actor
1350,the god father,none
1351,i need a list of tom hanks movies,movie.starring.actor
1352,i want to view only movies with tom hanks,movie.starring.actor
1353,i want to watch movies with tom hanks,movie.starring.actor
1354,list tom hanks movies for me,movie.starring.actor
1355,movies with tom hanks,movie.starring.actor
1356,show me tom hanks movies,movie.starring.actor
1357,show tom hanks movies,movie.starring.actor
